Year,data.Geography,Sexe,data.Age,Value
2017,data.Nova Scotia,Hommes,data.30 to 34 years,8.2
2018,data.Nova Scotia,Hommes,data.30 to 34 years,8.7
2019,data.Nova Scotia,Hommes,data.30 to 34 years,8.4
2020,data.Nova Scotia,Hommes,data.30 to 34 years,9.1
2015,data.Nova Scotia,Hommes,data.35 to 39 years,7.3
2016,data.Nova Scotia,Hommes,data.35 to 39 years,8.9
2017,data.Nova Scotia,Hommes,data.35 to 39 years,10.1
2018,data.Nova Scotia,Hommes,data.35 to 39 years,7.5
2019,data.Nova Scotia,Hommes,data.35 to 39 years,8.1
2020,data.Nova Scotia,Hommes,data.35 to 39 years,7.3
2015,data.Nova Scotia,Hommes,data.40 to 44 years,5.8
2016,data.Nova Scotia,Hommes,data.40 to 44 years,9.7
2017,data.Nova Scotia,Hommes,data.40 to 44 years,8.5
2018,data.Nova Scotia,Hommes,data.40 to 44 years,5.6
2019,data.Nova Scotia,Hommes,data.40 to 44 years,6.0
2020,data.Nova Scotia,Hommes,data.40 to 44 years,6.5
2015,data.Nova Scotia,Hommes,data.45 to 49 years,9.3
2016,data.Nova Scotia,Hommes,data.45 to 49 years,6.4
2017,data.Nova Scotia,Hommes,data.45 to 49 years,7.6
2018,data.Nova Scotia,Hommes,data.45 to 49 years,8.1
2019,data.Nova Scotia,Hommes,data.45 to 49 years,6.5
2020,data.Nova Scotia,Hommes,data.45 to 49 years,5.8
2015,data.Nova Scotia,Hommes,data.50 to 54 years,8.3
2016,data.Nova Scotia,Hommes,data.50 to 54 years,10.2
2017,data.Nova Scotia,Hommes,data.50 to 54 years,8.4
2018,data.Nova Scotia,Hommes,data.50 to 54 years,5.4
2019,data.Nova Scotia,Hommes,data.50 to 54 years,5.7
2020,data.Nova Scotia,Hommes,data.50 to 54 years,6.8
2015,data.Nova Scotia,Hommes,data.55 to 59 years,9.9
2016,data.Nova Scotia,Hommes,data.55 to 59 years,8.9
2017,data.Nova Scotia,Hommes,data.55 to 59 years,8.4
2018,data.Nova Scotia,Hommes,data.55 to 59 years,7.6
2019,data.Nova Scotia,Hommes,data.55 to 59 years,7.3
2020,data.Nova Scotia,Hommes,data.55 to 59 years,8.3
2015,data.Nova Scotia,Hommes,data.60 to 64 years,11.7
2016,data.Nova Scotia,Hommes,data.60 to 64 years,10.6
2017,data.Nova Scotia,Hommes,data.60 to 64 years,11.9
2018,data.Nova Scotia,Hommes,data.60 to 64 years,9.7
2019,data.Nova Scotia,Hommes,data.60 to 64 years,8.5
2020,data.Nova Scotia,Hommes,data.60 to 64 years,12.7
2015,data.Nova Scotia,Hommes,data.65 years and over,
2016,data.Nova Scotia,Hommes,data.65 years and over,
2017,data.Nova Scotia,Hommes,data.65 years and over,6.1
2018,data.Nova Scotia,Hommes,data.65 years and over,
2019,data.Nova Scotia,Hommes,data.65 years and over,6.3
2020,data.Nova Scotia,Hommes,data.65 years and over,7.8
2015,data.Nova Scotia,Hommes,data.65 to 69 years,
2016,data.Nova Scotia,Hommes,data.65 to 69 years,
2017,data.Nova Scotia,Hommes,data.65 to 69 years,
2018,data.Nova Scotia,Hommes,data.65 to 69 years,
2019,data.Nova Scotia,Hommes,data.65 to 69 years,
2020,data.Nova Scotia,Hommes,data.65 to 69 years,
2015,data.Nova Scotia,Hommes,data.70 years and over,
2016,data.Nova Scotia,Hommes,data.70 years and over,
2017,data.Nova Scotia,Hommes,data.70 years and over,
2018,data.Nova Scotia,Hommes,data.70 years and over,
2019,data.Nova Scotia,Hommes,data.70 years and over,
2020,data.Nova Scotia,Hommes,data.70 years and over,
2015,data.Nova Scotia,Femmes,data.15 years and over,7.2
2016,data.Nova Scotia,Femmes,data.15 years and over,6.5
2017,data.Nova Scotia,Femmes,data.15 years and over,6.3
2018,data.Nova Scotia,Femmes,data.15 years and over,6.0
2019,data.Nova Scotia,Femmes,data.15 years and over,6.3
2020,data.Nova Scotia,Femmes,data.15 years and over,9.0
2015,data.Nova Scotia,Femmes,data.15 to 24 years,12.5
2016,data.Nova Scotia,Femmes,data.15 to 24 years,12.0
2017,data.Nova Scotia,Femmes,data.15 to 24 years,12.8
2018,data.Nova Scotia,Femmes,data.15 to 24 years,12.9
2019,data.Nova Scotia,Femmes,data.15 to 24 years,12.6
2020,data.Nova Scotia,Femmes,data.15 to 24 years,14.9
2015,data.Nova Scotia,Femmes,data.25 years and over,6.3
2016,data.Nova Scotia,Femmes,data.25 years and over,5.5
2017,data.Nova Scotia,Femmes,data.25 years and over,5.2
2018,data.Nova Scotia,Femmes,data.25 years and over,4.8
2019,data.Nova Scotia,Femmes,data.25 years and over,5.1
2020,data.Nova Scotia,Femmes,data.25 years and over,8.0
2015,data.Nova Scotia,Femmes,data.25 to 44 years,5.7
2016,data.Nova Scotia,Femmes,data.25 to 44 years,5.6
2017,data.Nova Scotia,Femmes,data.25 to 44 years,5.5
2018,data.Nova Scotia,Femmes,data.25 to 44 years,5.0
2019,data.Nova Scotia,Femmes,data.25 to 44 years,5.6
2020,data.Nova Scotia,Femmes,data.25 to 44 years,8.2
2015,data.Nova Scotia,Femmes,data.45 to 64 years,7.0
2016,data.Nova Scotia,Femmes,data.45 to 64 years,5.6
2017,data.Nova Scotia,Femmes,data.45 to 64 years,4.9
2018,data.Nova Scotia,Femmes,data.45 to 64 years,4.4
2019,data.Nova Scotia,Femmes,data.45 to 64 years,4.6
2020,data.Nova Scotia,Femmes,data.45 to 64 years,7.9
2015,data.Nova Scotia,Femmes,data.45 years and over,6.8
2016,data.Nova Scotia,Femmes,data.45 years and over,5.4
2017,data.Nova Scotia,Femmes,data.45 years and over,5.1
2018,data.Nova Scotia,Femmes,data.45 years and over,4.5
2019,data.Nova Scotia,Femmes,data.45 years and over,4.6
2020,data.Nova Scotia,Femmes,data.45 years and over,7.9
2015,data.Nova Scotia,Femmes,data.25 to 54 years,6.2
2016,data.Nova Scotia,Femmes,data.25 to 54 years,5.5
2017,data.Nova Scotia,Femmes,data.25 to 54 years,5.1
2018,data.Nova Scotia,Femmes,data.25 to 54 years,4.8
2019,data.Nova Scotia,Femmes,data.25 to 54 years,4.9
2020,data.Nova Scotia,Femmes,data.25 to 54 years,7.7
2015,data.Nova Scotia,Femmes,data.55 years and over,6.4
2016,data.Nova Scotia,Femmes,data.55 years and over,5.7
2017,data.Nova Scotia,Femmes,data.55 years and over,5.7
2018,data.Nova Scotia,Femmes,data.55 years and over,4.7
2019,data.Nova Scotia,Femmes,data.55 years and over,5.6
2020,data.Nova Scotia,Femmes,data.55 years and over,9.2
2015,data.Nova Scotia,Femmes,data.15 to 64 years,7.3
2016,data.Nova Scotia,Femmes,data.15 to 64 years,6.6
2017,data.Nova Scotia,Femmes,data.15 to 64 years,6.3
2018,data.Nova Scotia,Femmes,data.15 to 64 years,6.0
2019,data.Nova Scotia,Femmes,data.15 to 64 years,6.3
2020,data.Nova Scotia,Femmes,data.15 to 64 years,9.1
2015,data.Nova Scotia,Femmes,data.15 to 19 years,15.4
2016,data.Nova Scotia,Femmes,data.15 to 19 years,18.9
2017,data.Nova Scotia,Femmes,data.15 to 19 years,18.2
2018,data.Nova Scotia,Femmes,data.15 to 19 years,18.1
2019,data.Nova Scotia,Femmes,data.15 to 19 years,18.3
2020,data.Nova Scotia,Femmes,data.15 to 19 years,17.8
2015,data.Nova Scotia,Femmes,data.20 to 24 years,10.6
2016,data.Nova Scotia,Femmes,data.20 to 24 years,8.6
2017,data.Nova Scotia,Femmes,data.20 to 24 years,10.0
2018,data.Nova Scotia,Femmes,data.20 to 24 years,10.1
2019,data.Nova Scotia,Femmes,data.20 to 24 years,8.7
2020,data.Nova Scotia,Femmes,data.20 to 24 years,13.4
2015,data.Nova Scotia,Femmes,data.25 to 29 years,5.4
2016,data.Nova Scotia,Femmes,data.25 to 29 years,6.0
2017,data.Nova Scotia,Femmes,data.25 to 29 years,5.9
2018,data.Nova Scotia,Femmes,data.25 to 29 years,4.5
2019,data.Nova Scotia,Femmes,data.25 to 29 years,6.5
2020,data.Nova Scotia,Femmes,data.25 to 29 years,9.7
2015,data.Nova Scotia,Femmes,data.30 to 34 years,4.9
2016,data.Nova Scotia,Femmes,data.30 to 34 years,6.2
2017,data.Nova Scotia,Femmes,data.30 to 34 years,5.7
2018,data.Nova Scotia,Femmes,data.30 to 34 years,7.2
2019,data.Nova Scotia,Femmes,data.30 to 34 years,5.3
2020,data.Nova Scotia,Femmes,data.30 to 34 years,8.2
2015,data.Nova Scotia,Femmes,data.35 to 39 years,6.7
2016,data.Nova Scotia,Femmes,data.35 to 39 years,5.6
2017,data.Nova Scotia,Femmes,data.35 to 39 years,4.1
2018,data.Nova Scotia,Femmes,data.35 to 39 years,4.9
2019,data.Nova Scotia,Femmes,data.35 to 39 years,6.4
2020,data.Nova Scotia,Femmes,data.35 to 39 years,7.3
2015,data.Nova Scotia,Femmes,data.40 to 44 years,5.7
2016,data.Nova Scotia,Femmes,data.40 to 44 years,4.7
2017,data.Nova Scotia,Femmes,data.40 to 44 years,5.5
2018,data.Nova Scotia,Femmes,data.40 to 44 years,4.3
2019,data.Nova Scotia,Femmes,data.40 to 44 years,4.3
2020,data.Nova Scotia,Femmes,data.40 to 44 years,7.4
2015,data.Nova Scotia,Femmes,data.45 to 49 years,6.7
2016,data.Nova Scotia,Femmes,data.45 to 49 years,5.7
2017,data.Nova Scotia,Femmes,data.45 to 49 years,5.3
2018,data.Nova Scotia,Femmes,data.45 to 49 years,4.2
2019,data.Nova Scotia,Femmes,data.45 to 49 years,3.2
2020,data.Nova Scotia,Femmes,data.45 to 49 years,5.8
2015,data.Nova Scotia,Femmes,data.50 to 54 years,7.4
2016,data.Nova Scotia,Femmes,data.50 to 54 years,4.7
2017,data.Nova Scotia,Femmes,data.50 to 54 years,4.0
2018,data.Nova Scotia,Femmes,data.50 to 54 years,4.2
2019,data.Nova Scotia,Femmes,data.50 to 54 years,4.4
2020,data.Nova Scotia,Femmes,data.50 to 54 years,7.5
2015,data.Nova Scotia,Femmes,data.55 to 59 years,6.4
2016,data.Nova Scotia,Femmes,data.55 to 59 years,5.4
2017,data.Nova Scotia,Femmes,data.55 to 59 years,6.0
2018,data.Nova Scotia,Femmes,data.55 to 59 years,3.4
2019,data.Nova Scotia,Femmes,data.55 to 59 years,5.0
2020,data.Nova Scotia,Femmes,data.55 to 59 years,10.0
2015,data.Nova Scotia,Femmes,data.60 to 64 years,8.1
2016,data.Nova Scotia,Femmes,data.60 to 64 years,7.8
2017,data.Nova Scotia,Femmes,data.60 to 64 years,5.0
2018,data.Nova Scotia,Femmes,data.60 to 64 years,6.3
2019,data.Nova Scotia,Femmes,data.60 to 64 years,6.1
2020,data.Nova Scotia,Femmes,data.60 to 64 years,8.9
2015,data.Nova Scotia,Femmes,data.65 years and over,
2016,data.Nova Scotia,Femmes,data.65 years and over,
2017,data.Nova Scotia,Femmes,data.65 years and over,6.4
2018,data.Nova Scotia,Femmes,data.65 years and over,
2019,data.Nova Scotia,Femmes,data.65 years and over,6.3
2020,data.Nova Scotia,Femmes,data.65 years and over,7.1
2015,data.Nova Scotia,Femmes,data.65 to 69 years,
2016,data.Nova Scotia,Femmes,data.65 to 69 years,
2017,data.Nova Scotia,Femmes,data.65 to 69 years,
2018,data.Nova Scotia,Femmes,data.65 to 69 years,
2019,data.Nova Scotia,Femmes,data.65 to 69 years,
2020,data.Nova Scotia,Femmes,data.65 to 69 years,
2015,data.Nova Scotia,Femmes,data.70 years and over,
2016,data.Nova Scotia,Femmes,data.70 years and over,
2017,data.Nova Scotia,Femmes,data.70 years and over,
2018,data.Nova Scotia,Femmes,data.70 years and over,
2019,data.Nova Scotia,Femmes,data.70 years and over,
2020,data.Nova Scotia,Femmes,data.70 years and over,
2015,data.New Brunswick,Les deux sexes,data.15 years and over,10.0
2016,data.New Brunswick,Les deux sexes,data.15 years and over,9.7
2017,data.New Brunswick,Les deux sexes,data.15 years and over,8.2
2018,data.New Brunswick,Les deux sexes,data.15 years and over,8.0
2019,data.New Brunswick,Les deux sexes,data.15 years and over,8.1
2020,data.New Brunswick,Les deux sexes,data.15 years and over,10.0
2015,data.New Brunswick,Les deux sexes,data.15 to 24 years,17.6
2016,data.New Brunswick,Les deux sexes,data.15 to 24 years,15.0
2017,data.New Brunswick,Les deux sexes,data.15 to 24 years,13.4
2018,data.New Brunswick,Les deux sexes,data.15 to 24 years,12.5
2019,data.New Brunswick,Les deux sexes,data.15 to 24 years,12.9
2020,data.New Brunswick,Les deux sexes,data.15 to 24 years,17.8
2015,data.New Brunswick,Les deux sexes,data.25 years and over,8.8
2016,data.New Brunswick,Les deux sexes,data.25 years and over,8.8
2017,data.New Brunswick,Les deux sexes,data.25 years and over,7.4
2018,data.New Brunswick,Les deux sexes,data.25 years and over,7.3
2019,data.New Brunswick,Les deux sexes,data.25 years and over,7.3
2020,data.New Brunswick,Les deux sexes,data.25 years and over,8.8
2015,data.New Brunswick,Les deux sexes,data.25 to 44 years,8.0
2016,data.New Brunswick,Les deux sexes,data.25 to 44 years,7.9
2017,data.New Brunswick,Les deux sexes,data.25 to 44 years,6.8
2018,data.New Brunswick,Les deux sexes,data.25 to 44 years,7.0
2019,data.New Brunswick,Les deux sexes,data.25 to 44 years,6.6
2020,data.New Brunswick,Les deux sexes,data.25 to 44 years,8.6
2015,data.New Brunswick,Les deux sexes,data.45 to 64 years,9.9
2016,data.New Brunswick,Les deux sexes,data.45 to 64 years,9.4
2017,data.New Brunswick,Les deux sexes,data.45 to 64 years,8.0
2018,data.New Brunswick,Les deux sexes,data.45 to 64 years,7.6
2019,data.New Brunswick,Les deux sexes,data.45 to 64 years,7.9
2020,data.New Brunswick,Les deux sexes,data.45 to 64 years,8.9
2015,data.New Brunswick,Les deux sexes,data.45 years and over,9.7
2016,data.New Brunswick,Les deux sexes,data.45 years and over,9.7
2017,data.New Brunswick,Les deux sexes,data.45 years and over,7.9
2018,data.New Brunswick,Les deux sexes,data.45 years and over,7.6
2019,data.New Brunswick,Les deux sexes,data.45 years and over,7.9
2020,data.New Brunswick,Les deux sexes,data.45 years and over,8.9
2015,data.New Brunswick,Les deux sexes,data.25 to 54 years,8.3
2016,data.New Brunswick,Les deux sexes,data.25 to 54 years,7.9
2017,data.New Brunswick,Les deux sexes,data.25 to 54 years,6.7
2018,data.New Brunswick,Les deux sexes,data.25 to 54 years,6.8
2019,data.New Brunswick,Les deux sexes,data.25 to 54 years,6.5
2020,data.New Brunswick,Les deux sexes,data.25 to 54 years,8.0
2015,data.New Brunswick,Les deux sexes,data.55 years and over,10.6
2016,data.New Brunswick,Les deux sexes,data.55 years and over,11.5
2017,data.New Brunswick,Les deux sexes,data.55 years and over,9.3
2018,data.New Brunswick,Les deux sexes,data.55 years and over,8.8
2019,data.New Brunswick,Les deux sexes,data.55 years and over,9.4
2020,data.New Brunswick,Les deux sexes,data.55 years and over,10.7
2015,data.New Brunswick,Les deux sexes,data.15 to 64 years,10.1
2016,data.New Brunswick,Les deux sexes,data.15 to 64 years,9.5
2017,data.New Brunswick,Les deux sexes,data.15 to 64 years,8.2
2018,data.New Brunswick,Les deux sexes,data.15 to 64 years,8.0
2019,data.New Brunswick,Les deux sexes,data.15 to 64 years,8.1
2020,data.New Brunswick,Les deux sexes,data.15 to 64 years,10.0
2015,data.New Brunswick,Les deux sexes,data.15 to 19 years,18.8
2016,data.New Brunswick,Les deux sexes,data.15 to 19 years,18.1
2017,data.New Brunswick,Les deux sexes,data.15 to 19 years,18.4
2018,data.New Brunswick,Les deux sexes,data.15 to 19 years,14.0
2019,data.New Brunswick,Les deux sexes,data.15 to 19 years,16.8
2020,data.New Brunswick,Les deux sexes,data.15 to 19 years,18.1
2015,data.New Brunswick,Les deux sexes,data.20 to 24 years,16.5
2016,data.New Brunswick,Les deux sexes,data.20 to 24 years,12.9
2017,data.New Brunswick,Les deux sexes,data.20 to 24 years,10.0
2018,data.New Brunswick,Les deux sexes,data.20 to 24 years,11.4
2019,data.New Brunswick,Les deux sexes,data.20 to 24 years,10.3
2020,data.New Brunswick,Les deux sexes,data.20 to 24 years,17.6
2015,data.New Brunswick,Les deux sexes,data.25 to 29 years,10.6
2016,data.New Brunswick,Les deux sexes,data.25 to 29 years,8.7
2017,data.New Brunswick,Les deux sexes,data.25 to 29 years,9.7
2018,data.New Brunswick,Les deux sexes,data.25 to 29 years,7.9
2019,data.New Brunswick,Les deux sexes,data.25 to 29 years,9.0
2020,data.New Brunswick,Les deux sexes,data.25 to 29 years,10.3
2015,data.New Brunswick,Les deux sexes,data.30 to 34 years,8.1
2016,data.New Brunswick,Les deux sexes,data.30 to 34 years,7.5
2017,data.New Brunswick,Les deux sexes,data.30 to 34 years,6.3
2018,data.New Brunswick,Les deux sexes,data.30 to 34 years,7.7
2019,data.New Brunswick,Les deux sexes,data.30 to 34 years,6.8
2020,data.New Brunswick,Les deux sexes,data.30 to 34 years,8.8
2015,data.New Brunswick,Les deux sexes,data.35 to 39 years,6.8
2016,data.New Brunswick,Les deux sexes,data.35 to 39 years,7.5
2017,data.New Brunswick,Les deux sexes,data.35 to 39 years,6.2
2018,data.New Brunswick,Les deux sexes,data.35 to 39 years,6.0
2019,data.New Brunswick,Les deux sexes,data.35 to 39 years,5.6
2020,data.New Brunswick,Les deux sexes,data.35 to 39 years,8.7
2015,data.New Brunswick,Les deux sexes,data.40 to 44 years,6.7
2016,data.New Brunswick,Les deux sexes,data.40 to 44 years,7.9
2017,data.New Brunswick,Les deux sexes,data.40 to 44 years,5.3
2018,data.New Brunswick,Les deux sexes,data.40 to 44 years,6.4
2019,data.New Brunswick,Les deux sexes,data.40 to 44 years,5.4
2020,data.New Brunswick,Les deux sexes,data.40 to 44 years,7.1
2015,data.New Brunswick,Les deux sexes,data.45 to 49 years,8.0
2016,data.New Brunswick,Les deux sexes,data.45 to 49 years,8.2
2017,data.New Brunswick,Les deux sexes,data.45 to 49 years,7.1
2018,data.New Brunswick,Les deux sexes,data.45 to 49 years,6.8
2019,data.New Brunswick,Les deux sexes,data.45 to 49 years,5.3
2020,data.New Brunswick,Les deux sexes,data.45 to 49 years,6.3
2015,data.New Brunswick,Les deux sexes,data.50 to 54 years,9.5
2016,data.New Brunswick,Les deux sexes,data.50 to 54 years,7.6
2017,data.New Brunswick,Les deux sexes,data.50 to 54 years,5.9
2018,data.New Brunswick,Les deux sexes,data.50 to 54 years,6.1
2019,data.New Brunswick,Les deux sexes,data.50 to 54 years,7.2
2020,data.New Brunswick,Les deux sexes,data.50 to 54 years,7.6
2015,data.New Brunswick,Les deux sexes,data.55 to 59 years,10.0
2016,data.New Brunswick,Les deux sexes,data.55 to 59 years,9.9
2017,data.New Brunswick,Les deux sexes,data.55 to 59 years,8.2
2018,data.New Brunswick,Les deux sexes,data.55 to 59 years,8.3
2019,data.New Brunswick,Les deux sexes,data.55 to 59 years,9.8
2020,data.New Brunswick,Les deux sexes,data.55 to 59 years,9.4
2015,data.New Brunswick,Les deux sexes,data.60 to 64 years,13.2
2016,data.New Brunswick,Les deux sexes,data.60 to 64 years,13.2
2017,data.New Brunswick,Les deux sexes,data.60 to 64 years,12.0
2018,data.New Brunswick,Les deux sexes,data.60 to 64 years,9.8
2019,data.New Brunswick,Les deux sexes,data.60 to 64 years,9.3
2020,data.New Brunswick,Les deux sexes,data.60 to 64 years,13.4
2015,data.New Brunswick,Les deux sexes,data.65 years and over,7.4
2016,data.New Brunswick,Les deux sexes,data.65 years and over,12.7
2017,data.New Brunswick,Les deux sexes,data.65 years and over,7.4
2018,data.New Brunswick,Les deux sexes,data.65 years and over,8.5
2019,data.New Brunswick,Les deux sexes,data.65 years and over,8.4
2020,data.New Brunswick,Les deux sexes,data.65 years and over,10.0
2015,data.New Brunswick,Les deux sexes,data.65 to 69 years,9.0
2016,data.New Brunswick,Les deux sexes,data.65 to 69 years,12.8
2017,data.New Brunswick,Les deux sexes,data.65 to 69 years,9.5
2018,data.New Brunswick,Les deux sexes,data.65 to 69 years,9.1
2019,data.New Brunswick,Les deux sexes,data.65 to 69 years,11.3
2020,data.New Brunswick,Les deux sexes,data.65 to 69 years,11.9
2015,data.New Brunswick,Les deux sexes,data.70 years and over,
2016,data.New Brunswick,Les deux sexes,data.70 years and over,12.5
2017,data.New Brunswick,Les deux sexes,data.70 years and over,
2018,data.New Brunswick,Les deux sexes,data.70 years and over,
2019,data.New Brunswick,Les deux sexes,data.70 years and over,
2020,data.New Brunswick,Les deux sexes,data.70 years and over,
2015,data.New Brunswick,Hommes,data.15 years and over,12.5
2016,data.New Brunswick,Hommes,data.15 years and over,12.3
2017,data.New Brunswick,Hommes,data.15 years and over,10.0
2018,data.New Brunswick,Hommes,data.15 years and over,9.3
2019,data.New Brunswick,Hommes,data.15 years and over,9.6
2020,data.New Brunswick,Hommes,data.15 years and over,11.7
